Date,Time,Id,CumReturnResid,CumReturnRaw,CumVolume
20100104,45:00.0,BBG000G8N9C6,-0.003444482,0.013033754,154367
20100104,45:00.0,GEN_EQ0117562400001000,-0.000589499,0.02294263,605110
20100104,45:00.0,BBG000BWJFZ4,-0.005304595,0.011219196,46858
20100104,45:00.0,GEN_EQ0010020500001000,-0.002960515,0.020413617,321304
20100104,45:00.0,BBG000BLBXT4,-0.005245395,0.013674154,191629
20100104,45:00.0,BBG000BB6M98,-0.004644499,0.003444044,66128
20100104,45:00.0,BBG000G3QLY3,-0.00791479,0.00579373,80678
20100104,45:00.0,BBG000BC4JJ4,0.002773179,0.018452143,85404
20100104,45:00.0,BBG000BPT0C6,0.001468596,0.028641555,80776
20100104,45:00.0,BBG000BVWLJ6,0.005974494,0.018204726,215462
20100104,45:00.0,BBG000C7LMS8,0.002079947,0.005059091,25400
20100104,45:00.0,BBG000HGYNZ9,0.005178702,0.03669225,280401
20100104,45:00.0,BBG000CSY9H9,0.011797026,0.020326257,192873
20100104,45:00.0,BBG000QBR5J5,-0.019741828,-0.007475542,329823
20100104,45:00.0,BBG000BFXHL6,0.006484833,0.026416847,441092
20100104,45:00.0,BBG000BGPTV6,-0.012352753,0.011337775,119420
20100104,45:00.0,BBG000BB5BF6,-0.001672583,0.010854065,527572
20100104,45:00.0,BBG000GC80B4,,,170908
20100104,45:00.0,BBG000QRSL13,0.00364011,0.029234724,1699846
20100104,45:00.0,BBG000BB6G37,0.007625892,0.018697625,197367
20100104,45:00.0,BBG000B9XYV2,-0.004246394,0.01448087,163506
20100104,45:00.0,BBG000BNC3Y9,-0.009147712,0.009833315,226711
20100104,45:00.0,GEN_EQ0085215200001000,0.015112933,0.048541624,587418
20100104,45:00.0,BBG000BWVCP8,-0.003314215,0.021362355,282895
20100104,45:00.0,BBG000BPQD31,-0.003538022,0.013018622,316322
20100104,45:00.0,BBG000BGVW60,0.00151561,0.004752766,111390
20100104,45:00.0,BBG000BM6788,-0.003249521,0.005732568,163467
20100104,45:00.0,BBG000BVMPN3,0.007844211,0.016328722,76948
20100104,45:00.0,BBG000BZ2GG4,0.003928173,0.029053137,142257
20100104,45:00.0,BBG000F86GP6,0.000416501,0.011744926,130479
20100104,45:00.0,BBG000C0F570,0.006327721,0.018751236,250918
20100104,45:00.0,BBG000BF1R66,0.004165674,0.005686776,79592
20100104,45:00.0,BBG000BFTJ91,-0.006357374,0.007823082,545310
20100104,45:00.0,BBG000BWSV34,-0.008954921,0.005580754,114996
20100104,45:00.0,BBG000BG7986,0.015924482,0.027007144,211556
20100104,45:00.0,BBG000BTVJ25,0.002344926,0.006806282,138097
20100104,45:00.0,BBG000BK67C7,-0.001957942,0.009323211,71016
20100104,45:00.0,GEN_EQ0010281900001000,0.002559063,0.002641561,81479
20100104,45:00.0,BBG000BMDV41,-0.005142776,0.00436641,333904
20100104,45:00.0,BBG000BH3JF8,-0.002283044,0.004519928,161809
20100104,45:00.0,BBG000BMTFR4,0.010849096,0.028334513,216990
20100104,45:00.0,BBG000BZTW70,0.002442704,0.03790793,191044
20100104,45:00.0,BBG000CGQ6M4,-0.006914722,0.008465671,72747
20100104,45:00.0,BBG000D898T9,-0.010432614,-0.000310206,289690
20100104,45:00.0,BBG000BV7LP7,-0.006047218,0.002348029,166019
20100104,45:00.0,BBG000BM5SR2,0.008669222,0.022027256,190173
20100104,45:00.0,BBG000BFMBQ6,-0.001408917,0.01728786,284482
20100104,45:00.0,BBG000BX5ZF5,-0.007513926,0.009461816,575028
20100104,45:00.0,BBG000BCNYT9,0.001119954,0.009839686,129373
20100104,45:00.0,BBG000DHSPT0,0.005271184,0.013973112,118149
20100104,45:00.0,BBG000BQ2C28,0.00159182,0.011465533,71343
20100104,45:00.0,BBG000BCZYD3,-0.002406807,-0.000126957,89480
20100104,45:00.0,BBG000BQ74K1,-0.008762516,-0.002762652,108366
20100104,45:00.0,BBG000BP0KQ8,-0.001307655,0.011827576,273518
20100104,45:00.0,BBG000BVMGF2,0.002033476,0.006656633,132296
20100104,45:00.0,BBG000PVRDL2,0.001790545,0.041182306,736069
20100104,45:00.0,BBG000FVXD63,0.010196277,0.042348012,198115
20100104,45:00.0,BBG000BLM0V1,,,208991
20100104,45:00.0,BBG000BJPDZ1,0.003415583,0.014243388,34000
20100104,45:00.0,BBG000BCGY17,-0.001314803,-0.001307819,50309
20100104,45:00.0,BBG000F15NW9,0.011433209,0.017004432,160344
20100104,45:00.0,BBG000PM7GJ0,0.001849256,0.034085687,151241
20100104,45:00.0,BBG000JG0547,0.003938776,0.007238692,177554
20100104,45:00.0,GEN_EQ0012661800001000,-0.002226682,0.008662835,142564
20100104,45:00.0,BBG000BL8GJ6,0.006541804,0.04261318,342622
20100104,45:00.0,BBG000BKCFC2,0.002595873,-0.000706651,145163
20100104,45:00.0,BBG000DYGNW7,-0.002187648,0.007518804,90780
20100104,45:00.0,BBG000BMF5J0,0.012736787,0.023509463,278380
20100104,45:00.0,BBG000BB2KW0,-0.00308103,0.010307708,178269
20100104,45:00.0,BBG000LD9JQ8,0.025717035,0.054859255,528683
20100104,45:00.0,BBG000BWNFZ9,0.004925438,0.021958077,308749
20100104,45:00.0,BBG000C496P7,-0.002233621,0.01707592,384892
20100104,45:00.0,BBG000BHGDH5,-0.002701918,0.001161851,613968
20100104,45:00.0,BBG000JN8R00,-0.008382629,0.02444529,271988
20100104,45:00.0,BBG000CKVSG8,0.01451715,0.04565052,311354
20100104,45:00.0,GEN_EQ0010172300001000,-0.004331091,0.000510149,174992
20100104,45:00.0,BBG000H9G7X2,0.001763298,0.013929527,133342
20100104,45:00.0,BBG000BB9KF2,0.004169931,0.009771639,191272
20100104,45:00.0,BBG000BB6WG8,-0.002364699,0.002714481,210172
20100104,45:00.0,BBG000BBMSJ6,0.007654704,0.01945626,336850
20100104,45:00.0,BBG000BKLH74,-0.014913209,-0.008620733,858066
20100104,45:00.0,BBG000BBDV81,0.00828959,0.020302178,173479
20100104,45:00.0,BBG000BH3GZ2,0.006399792,0.006578011,118933
20100104,45:00.0,BBG000BSD7C2,-0.000487389,0.008051951,93507
20100104,45:00.0,GEN_EQ0000000001064567,0.032096397,0.060039174,520839
20100104,45:00.0,BBG000BMBL90,0.000497032,0.009898805,131354
